trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,2,-13.640655050653653,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,12,-61.12671808605288,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,10,9.410797539482434,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,14,-30.24973747318468,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.20392561173421347}",25,15,-4.545855652363789,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.1978986990836147}",20,14,-31.58049285031941,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.19204990862075413}",20,11,-1.7518771611130215,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,0,3.5100823266378525,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,7,-3.6236392840461296,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,11,-13.989134595738912,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,13,19.350577704512276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.16529888822158656}",25,13,-14.137708167840685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.1604135677751728}",20,0,-15.000025023365382,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.15567263036799733}",35,6,14.829159519141497,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.15107180883637086}",35,19,25.081315763094292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,11,13.868565890684522,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,7,22.0747937689705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,12,-5.833069866301246,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.13398867466880499}",25,11,-18.97569738388262,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.1300287108784259}",25,18,-1.5552846700442635,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.12618578170503877}",20,11,15.633040928751775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,13,11.698542931260896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.11883729385240965}",25,8,28.7778545814049,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.11532512103806251}",30,19,18.849487773664794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.11191674861732888}",20,16,5.435204532396312,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.10860910882495801}",20,10,17.18644366858929,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,16,6.0910920624965765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.10228420671553748}",25,0,-2.6523576626615757,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.09926125155964566}",25,8,-25.577631451629376,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.09632763823049303}",30,15,24.223302927802543,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.09348072627805847}",25,3,35.898611731355885,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.09071795328941251}",30,3,8.720660562748176,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.08803683258237259}",20,10,0.8043781675891379,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.08543495096732123}",25,8,5.266716469571154,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.0829099665751727}",25,16,16.435996643603914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.08045960674953244}",30,0,32.63397426350489,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.07808166600115317}",20,2,30.443923170410198,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.07577400402284548}",25,3,34.28872194377716,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
